Date	Hours	Phase	Topic	Description
2026-02-26	3	Pre-commit	Architecture	Platform boundaries; DI; core vs host vs nodes
2026-02-26	5	Pre-commit	Architecture	Execution model sketch; batch/item semantics (n8n-like)
2026-02-27	3.5	Pre-commit	Monorepo	Workspace layout: packages/core, host, nodes; public exports
2026-02-27	4	Pre-commit	Monorepo	tsconfig paths; pnpm/turbo; package boundaries
2026-02-28	5	Pre-commit	Engine	Workflow graph; item batching; node execution contract
2026-02-28	4	Pre-commit	Engine	Ports; triggers as item sources; deterministic execution rules
2026-03-01	4.5	Pre-commit	Engine	Builder DSL; runtime services; deep engine iteration
2026-03-01	3.5	Pre-commit	Engine	Merge semantics; errors/sealing; edge-case behaviour
2026-03-02	3	Pre-commit	Testing	Vitest strategy; split configs; minimal-mock testing policy
2026-03-02	4	Pre-commit	Testing	Callback-style test nodes; engine harness patterns
2026-03-03	4.5	Pre-commit	Product	Codemation host vs consumer app; framework-owned UI boundaries
2026-03-03	4	Pre-commit	Product	Configurable scheduler: goals, constraints, integration hooks
2026-03-04	5	Pre-commit	Framework spike	Next.js host attempt; routing/SSR friction; lessons captured
2026-03-04	4	Pre-commit	Framework spike	Next spike teardown; requirements for dev UX and gateway
2026-03-05	3.5	Pre-commit	Framework spike	TanStack Router + Vite spike; routing vs product fit
2026-03-05	4.5	Pre-commit	Framework spike	Abandon TanStack path; cost/benefit and migration risk
2026-03-06	4	Pre-commit	Framework spike	React Router v7 + Vite spike; dev/build workflow issues
2026-03-06	3.5	Pre-commit	Framework spike	Rollback RR7 path; consolidate what the host must own
2026-03-07	5	Pre-commit	Stabilization	Return to Next.js; CLI watcher for consumer rebuilds
2026-03-07	3	Pre-commit	Stabilization	Separate runtime process from Next; gateway/IPC boundaries
2026-03-08	6	Core + baseline	Initial commit	Core engine baseline; Vitest; ESLint/monorepo hygiene (first commit)
2026-03-08	4	Core + baseline	Initial commit	Align packages with pre-commit architecture after failed spikes
2026-03-09	4	Consumer DX	AI + UI	Typed AI merge; consumer dev UX (list/detail/canvas/executions)
2026-03-09	4	Consumer DX	AI + UI	Framework-owned dev surfaces vs thin consumer wiring
2026-03-10	3.5	Framework	Host UX	Move Codemation dev UX into framework packages
2026-03-10	3.5	Framework	Observability	Observable agent attachments; debugging UX
2026-03-11	3.5	Framework	Routing	Routing refactor; webhooks and HTTP routing capabilities
2026-03-11	3	Framework	Canvas	WorkflowCanvas viewport; layout; status and visibility
2026-03-11	3.5	Framework	Runtime	CLI + frontend runtime integration; polish pass
2026-03-12	4	Core + runtime	Tokens	tokenId/snapshots; streamlined runtime token decorators
2026-03-12	4	Core + runtime	Tokens	PersistedWorkflowResolver; runtime/agent invocation fixes
2026-03-12	3	Core + runtime	Realtime	Workflow detail realtime; inspector split; large test split
2026-03-13	5	Architecture refactor	Hexagonal / clean	Replace ad-hoc layering with DDD/CQRS-style boundaries
2026-03-13	4	Architecture refactor	Hexagonal / clean	Application vs infrastructure; dependency direction
2026-03-13	4	Architecture refactor	Hexagonal / clean	Refactor fallout: imports; module cohesion; consistency pass
2026-03-14	5	App	test-dev	test-dev app structure cleanup; dependency alignment
2026-03-15	5	Persistence	PostgreSQL	PostgreSQL-only persistence; Prisma schema and migrations strategy
2026-03-15	4	Persistence	PostgreSQL	Transaction-scoped tests; Vitest split (unit/integration/UI)
2026-03-16	8	Engine	Execution	Execution context and workflow topology refactor
2026-03-17	4.5	Product	Debugger	Workflow debugger overlay; manual reruns and stability
2026-03-17	3	Product	Runs	Coverage tooling; run-state race (persist vs socket) fixes
2026-03-17	2.5	Core + host	Attachments	Binary attachments; browser-safe exports; inspector split
2026-03-18	4.5	Engine	Triggers	Execute-first triggers; ItemsInputNormalizer; manual trigger UX
2026-03-18	3.5	Integration	Gmail	core-nodes-gmail; trigger setup state and Gmail workflows
2026-03-19	4.5	Credentials	Model	First-class credentials: slots, bindings, CRUD surfaces
2026-03-19	3.5	Credentials	OAuth	OAuth2 connect flow; Gmail OAuth type; hardened settings UI
2026-03-19	3	Framework	API	Stable Next host; Hono API behind Next catch-all; CLI alignment
2026-03-20	4	CLI + auth	CLI	Commander-based CLI: parsing, help, version
2026-03-20	2.5	CLI + auth	Auth	User management; dev workflow cleanup
2026-03-20	3.5	Tooling	Quality	ESLint/architecture cleanup; split large UI modules; logging DI; run list UX
2026-03-21	3.5	Framework	Host	Rename @codemation/frontend → @codemation/host; feature-based layout
2026-03-21	3.5	Framework	UI	Tailwind v4; shadcn bootstrap; CodemationApiClient (no raw fetch)
2026-03-21	3	Core + UX	Engine + UI	Engine layering and workflow ports; design-system pass on shell/CRUD
2026-03-22	6	Product	Discovery	Workflow discovery: path segments and folder navigation
2026-03-23	7	Runtime	Dev worker	runtime-dev worker; performance logging; workflow shell UX
2026-03-24	5	Framework	Engine	Engine resource limits; run wiring cleanup; webhook catalog matching
2026-03-24	4	Product	UX + E2E	Shareable workflow detail state; connection-scoped credentials; Playwright consumer/UI harness
2026-03-25	4.5	CLI + auth	CLI/Auth	Bootstrap user flow; admin session wiring; user list; CLI module split
2026-03-25	4	Integrations + scaffolding	Gmail/OpenAI	Gmail polling + Pub/Sub work; OpenAI credential DI; create-codemation scaffold; canvas UX
